"MODEL_DESC","Model","TIME_AGG_PERIOD","START_WEEK","END_WEEK","dependent_variable","CNT_EXPSD_HH","UDJ_AVG_EXPSD_HH_PRE","UDJ_AVG_CNTRL_HH_PRE","UDJ_AVG_EXPSD_HH_PST","UDJ_AVG_CNTRL_HH_PST","UDJ_DOD_EFFCT","UDJ_DIFF_EFFCT","ADJ_MEAN_EXPSD_GRP","ADJ_MEAN_CNTRL_GRP","ADJ_DOD_EFFCT","TWOTAIL_PVAL","ONETAIL_PVAL","ABS_DIFF","DOL_DIFF","ONETAIL_80_PCT_INTRVL_UB","ONETAIL_80_PCT_INTRVL_LB","ONETAIL_90_PCT_INTRVL_UB","ONETAIL_90_PCT_INTRVL_LB","TWOTAIL_80_PCT_INTRVL_UB","TWOTAIL_80_PCT_INTRVL_LB","TWOTAIL_90_PCT_INTRVL_UB","TWOTAIL_90_PCT_INTRVL_LB","CNT_Model_HH","CNT_IMPRESSIONS"
"audience(CTX_Foodies_and_Recipes)","","","","","dolhh","461654",0.48857946416527953,0.4853993611440853,0.5483798717016233,0.5948022099985493,-10.860943460641206,-10.918277123942431,0.541682551008888,0.6018943128470879,-9.986499356968572,89.9,95.10462377346182,-0.060211761838199984,-0.060211761838199984,-4.57550479063057,-15.704089428420021,-2.0441723017730165,-16.230956849721707,-2.0441723017730165,-16.230956849721707,0.16055451901498435,-16.46008364178079,"3435","1857389"
"audience(CTX_Programmatic_Audio_Channels)","","","","","pen","",0.04937948174249117,0.04937948174249117,0.045099926658141935,0.0486684172053993,-7.332251082251086,-7.332251082251086,0.045001878800157886,0.0487799816664157,-7.745191238681796,90.49432485264586,95.24716242632293,-0.003778102866257814,-0.003778102866257814,-4.327267565072878,-11.253494072059732,-1.7047778873108252,-13.097104577689223,-1.7047778873108252,-13.097104577689223,-0.26143985326783636,-13.644188552460268,"2390",""
"audience(CTX_Programmatic_Audio_Channels)","","","","","occ","",1.4066666666666665,1.421066666666667,1.4306569343065692,1.4339747676110415,0.7728285703374431,-0.23137319982273735,1.423785060238665,1.4404063272724557,-1.1539290489833212,14.502886985911555,57.25144349295578,-0.016621267033790632,-0.016621267033790632,2.932638878333806,-5.131677654853888,7.575629808465253,-6.545397904416908,7.575629808465253,-6.545397904416908,8.11559455528527,-7.558439001263722,"137",""
"audience(CTX_Programmatic_Audio_Channels)","","","","","dolocc","",6.447211111111111,6.447211111111109,7.354233055265903,7.299225581770873,0.7536069803405426,0.753606980340567,7.3845334541797945,7.272673692722335,1.538083051483476,37.41447522286193,68.70723761143095,0.11185976145745968,0.11185976145745968,4.471930234838135,-2.304980168818789,5.001760218847286,-2.820885096797706,5.001760218847286,-2.820885096797706,7.064340044190387,-3.1696046906210347,"137",""
"audience(CTX_Programmatic_Audio_Channels)","","","","","dolhh","326603",0.4478263203138768,0.4524107034981326,0.47451367005983613,0.5094077143480269,-2.156045728707304,-5.186063307776625,0.47314923208330434,0.5109998297559823,-7.408769262499451,64.62426332766722,82.31213166383361,-0.03785059767267801,-0.03785059767267801,-2.471613791615565,-13.583322854831312,4.586640972703422,-15.878605236287575,4.586640972703422,-15.878605236287575,5.4241368354360935,-17.927380072577783,"2390","1319587"
"ad_size(300x250)","","","","","pen","",0.05574694450815644,0.05574694450815644,0.05357145399076498,0.05132797939470502,4.370860927152319,4.370860927152319,0.05327840282769506,0.051620253011256875,3.2122078442284825,77.71954022610224,88.85977011305111,0.0016581498164381855,0.0016581498164381855,5.076958170467663,0.6829802437509439,6.508637228796192,-0.15052748761520893,6.508637228796192,-0.15052748761520893,6.60735142842257,-1.0875577374494823,"11573",""
"ad_size(300x250)","","","","","occ","",1.5048780487804883,1.483560975609756,1.5215736040609134,1.510378006255093,-0.6701286249531412,0.7412447585607507,1.5083709240271572,1.5243390442729023,-1.047543871931837,35.92167127193571,67.96083563596785,-0.01596812024574512,-0.01596812024574512,0.6652324188159456,-2.5819862897931523,1.215364774665462,-3.2625830833122103,1.215364774665462,-3.2625830833122103,2.2709861115878187,-4.1545733391814474,"788",""
"ad_size(300x250)","","","","","dolocc","",6.542449535423934,6.542449535423929,7.528713063374873,7.385346821141614,1.941225587711708,1.94122558771178,7.533029621866799,7.382917035223215,2.0332422256326357,86.75812330683411,93.37906165341705,0.1501125866435835,0.1501125866435835,3.075213750741333,0.8153528361424283,3.6903438345709008,0.304202081116518,3.6903438345709008,0.304202081116518,4.0328483397007115,0.012112075646270183,"788",""
"ad_size(300x250)","","","","","dolhh","1570747",0.5488614864136414,0.5410866899934541,0.6136873127863268,0.5725464361765278,4.487462348213005,5.708746773435515,0.6053813318911582,0.580937873566798,4.200052523098284,69.95907637727883,84.97953818863941,0.024443458324360123,0.024443458324360123,9.758527540302074,1.0899784797172622,10.749427856607072,0.3941832647973929,10.749427856607072,0.3941832647973929,11.146981612849046,-1.2084424955341468,"11573","3598670"
"audience(RTG_Recipes)","","","","","pen","",0.04724551037399697,0.04724551037399697,0.048665457407095235,0.04688923275478323,3.7881290606761127,3.7881290606761127,0.04859001327864285,0.046966980596225075,3.455688787769827,50.905555466276695,75.45277773313835,0.0016230326824177785,0.0016230326824177785,6.873630182258436,-1.456423000488254,10.633589600165589,-2.495630954806416,10.633589600165589,-2.495630954806416,13.058470838622021,-3.8349819296594547,"6095",""
