MODEL_DESC,dependent_variable,CNT_EXPSD_HH,UDJ_AVG_EXPSD_HH_PRE,UDJ_AVG_CNTRL_HH_PRE,UDJ_AVG_EXPSD_HH_PST,UDJ_AVG_CNTRL_HH_PST,UDJ_DOD_EFFCT,UDJ_DIFF_EFFCT,ADJ_MEAN_EXPSD_GRP,ADJ_MEAN_CNTRL_GRP,ADJ_DOD_EFFCT,PVAL,TWOTAIL_PVAL,ONETAIL_PVAL,ABS_DIFF,DOL_DIFF,ONETAIL_80_PCT_INTRVL_UB,ONETAIL_80_PCT_INTRVL_LB,ONETAIL_90_PCT_INTRVL_UB,ONETAIL_90_PCT_INTRVL_LB,TWOTAIL_80_PCT_INTRVL_UB,TWOTAIL_80_PCT_INTRVL_LB,TWOTAIL_90_PCT_INTRVL_UB,TWOTAIL_90_PCT_INTRVL_LB,COVAR,CORR_PVAL,unadj_avg_cntrl_hh_pst,idx,CNT_IMPRESSIONS,TWOTAIL_PVAL_to_Campaign,ONETAIL_PVAL_to_Campaign,CNT_Model_HH
frequency_type_std(Nine_Exposures),dolhh,32553,3.830615734,3.815600513,3.827656646,4.115253834,-7.353432417,-6.988564976,3.075561662,3.24562534,-5.239781535,0.234288259,76.57117413,88.28558706,-0.170063677,-0.170063677,-0.665580155,-9.054233297,1.273385091,-10.17368091,1.273385091,-10.17368091,2.340319914,-10.86472124,0,0,0,10,292984,,,911
frequency_type_std(Nine_Exposures),dolocc,,2.713839816,2.713839816,2.658540495,2.851844928,-6.778223845,-6.778223845,2.422798648,2.574239991,-5.882953558,0.018093178,98.19068221,99.0953411,-0.151441343,-0.151441343,-3.837960157,-7.949363649,-2.551614432,-8.913336386,-2.551614432,-8.913336386,-1.303034758,-9.545958336,0,0,0,10,,,,340
frequency_type_std(Nine_Exposures),occ,,2.027307119,2.019256688,2.098499375,2.079343508,0.534083703,0.921245879,1.814356889,1.785854111,1.596030581,0.618402784,38.15972156,69.07986078,0.028502778,0.028502778,4.758142947,-1.277274135,6.102567782,-2.756323729,6.102567782,-2.756323729,7.683441409,-3.46893843,0,0,0,10,,,,340
frequency_type_std(Nine_Exposures),pen,,0.696249398,0.69628584,0.68608962,0.69407734,-1.145589628,-1.150840019,0.69964939,0.706161176,-0.922138777,0.760770585,23.92294155,61.96147077,-0.006511786,-0.006511786,1.735330607,-2.91425102,2.611988678,-4.890744268,2.611988678,-4.890744268,3.349837708,-6.280176519,0,0,0,10,,,,911
frequency_type_std(One_Exposure),dolhh,163694,3.930845938,3.926527973,4.123017034,4.168873399,-1.203546502,-1.099970192,3.290936553,3.307270917,-0.493892523,0.882459684,11.75403164,55.87701582,-0.016334364,-0.016334364,1.916124465,-2.907450911,2.795600412,-4.484554904,2.795600412,-4.484554904,3.831062551,-5.498786254,0,0,0,11,163694,,,4694
frequency_type_std(One_Exposure),dolocc,,2.603651068,2.603651068,2.61357046,2.644255868,-1.160455318,-1.160455318,2.36725246,2.390279262,-0.963351962,0.44400304,55.59969599,77.799848,-0.023026802,-0.023026802,0.205564168,-2.107766774,0.709964813,-2.4544903,0.709964813,-2.4544903,1.134125683,-2.700757359,0,0,0,11,,,,1892
frequency_type_std(One_Exposure),occ,,2.253883998,2.251515124,2.227787017,2.320615073,-4.102228377,-4.000148821,1.926557695,1.999612584,-3.653452177,0.040227396,95.97726039,97.98863019,-0.073054889,-0.073054889,-2.173156256,-5.121298269,-1.441465871,-5.942477734,-1.441465871,-5.942477734,-0.896124357,-6.873572738,0,0,0,11,,,,1892
frequency_type_std(One_Exposure),pen,,0.669840931,0.669809385,0.708120631,0.679358503,4.229075191,4.233718641,0.721593024,0.69191895,4.288663273,0.001908217,99.80917832,99.90458916,0.029674074,0.029674074,5.534252407,3.065120936,6.038524555,2.381539782,6.038524555,2.381539782,6.60728665,1.919654742,0,0,0,11,,,,4694
frequency_type_std(Seven_Exposures),dolhh,48932,4.112901108,4.094029217,4.4205579,4.411815576,-0.229600889,0.198157058,3.513856869,3.541613761,-0.78373572,0.885769247,11.42307526,55.71153763,-0.027756892,-0.027756892,2.786937309,-3.370376768,4.714393456,-7.666263944,4.714393456,-7.666263944,5.998846177,-9.135595146,0,0,0,12,342529,,,1446
frequency_type_std(Seven_Exposures),dolocc,,2.66062437,2.66062437,2.784421421,2.670665672,4.259452984,4.259452984,2.523060788,2.415961599,4.432983903,0.02894055,97.10594502,98.55297251,0.107099189,0.107099189,6.315352505,2.700535979,7.282334167,1.922549362,7.282334167,1.922549362,8.029307382,1.243041943,0,0,0,12,,,,535
frequency_type_std(Seven_Exposures),occ,,2.413326664,2.402989282,2.36620082,2.417976194,-2.568791031,-2.141268943,2.036776295,2.100491048,-3.033326541,0.352490401,64.75095991,82.37547996,-0.063714752,-0.063714752,0.160312039,-5.909972355,1.524245028,-7.235059977,1.524245028,-7.235059977,2.274048279,-8.037527673,0,0,0,12,,,,535
frequency_type_std(Seven_Exposures),pen,,0.640543445,0.640349003,0.670950555,0.683261464,-1.83024394,-1.801785962,0.683773027,0.697915927,-2.026447413,0.27813612,72.18638798,86.09319399,-0.014142899,-0.014142899,-0.849438208,-3.446821076,0.678784883,-4.357266227,0.678784883,-4.357266227,1.65210083,-5.080222621,0,0,0,12,,,,1446
frequency_type_std(Six_Exposures),dolhh,74257,4.304004839,4.258587668,4.328891819,4.379624502,-2.195390353,-1.158379739,3.492272608,3.461916302,0.876864248,0.707364968,29.26350321,64.6317516,0.030356306,0.030356306,3.231574199,-1.879786409,4.074186446,-2.475938798,4.074186446,-2.475938798,4.516928067,-2.963723909,0,0,0,14,445544,,,2090
frequency_type_std(Six_Exposures),dolocc,,2.65373504,2.65373504,2.734071092,2.659801229,2.792308762,2.792308762,2.492347888,2.392376511,4.178747659,0.019819489,98.01805109,99.00902554,0.099971377,0.099971377,5.862761249,2.73525022,6.320951316,1.976182048,6.320951316,1.976182048,6.952331033,1.595457923,0,0,0,14,,,,833
frequency_type_std(Six_Exposures),occ,,2.341254193,2.316259079,2.260992723,2.314028152,-3.372065406,-2.291909405,1.95612416,1.995609,-1.978585972,0.407910813,59.20891867,79.60445934,-0.03948484,-0.03948484,-0.015372602,-3.472261603,0.752981905,-4.883500641,0.752981905,-4.883500641,1.295990017,-6.97052855,0,0,0,14,,,,833
frequency_type_std(Six_Exposures),pen,,0.692734191,0.692821559,0.700273618,0.711759451,-1.601449201,-1.613724032,0.716312584,0.725298214,-1.23888773,0.348545621,65.14543794,82.57271897,-0.008985631,-0.008985631,-0.217994699,-2.271047704,0.377540954,-3.00440509,0.377540954,-3.00440509,0.969327166,-3.369389075,0,0,0,14,,,,2090
frequency_type_std(Ten_or_More_Exposures),dolhh,237823,4.043755314,4.035209097,4.142901252,4.285725064,-3.531958471,-3.332547232,3.275832733,3.436527459,-4.676078636,0.027115037,97.28849634,98.64424817,-0.160694726,-0.160694726,-2.896408843,-6.247711844,-2.137620339,-7.072805889,-2.137620339,-7.072805889,-0.288677346,-7.682816502,0,0,0,15,3076518,,,6352
frequency_type_std(Ten_or_More_Exposures),dolocc,,2.68606169,2.68606169,2.726794663,2.720757913,0.221877524,0.221877524,2.455590509,2.475491129,-0.803905948,0.509358081,49.06419194,74.53209597,-0.01990062,-0.01990062,0.186072151,-1.788130176,0.506644477,-2.617156573,0.506644477,-2.617156573,0.754841574,-3.297506518,0,0,0,15,,,,2481
frequency_type_std(Ten_or_More_Exposures),occ,,2.188869837,2.184485268,2.224464233,2.308131572,-3.814856483,-3.624894669,1.914712047,1.996984853,-4.119851267,0.015386483,98.46135167,99.23067583,-0.082272806,-0.082272806,-2.745012638,-5.710371171,-2.057404141,-6.26123099,-2.057404141,-6.26123099,-0.9118551,-6.92181976,0,0,0,15,,,,2481
frequency_type_std(Ten_or_More_Exposures),pen,,0.68777906,0.687703282,0.683009461,0.682501943,0.063258383,0.074361396,0.69672625,0.695196851,0.219995037,0.820643774,17.93562257,58.96781129,0.001529399,0.001529399,1.09706159,-0.755954671,1.67674665,-1.170176705,1.67674665,-1.170176705,1.94198654,-1.38474655,0,0,0,15,,,,6352
frequency_type_std(Three_Exposures),dolhh,68049,3.928203139,3.902347689,3.863290165,4.036133795,-4.923005264,-4.282405847,3.125137929,3.168930095,-1.381922766,0.726084772,27.39152282,63.69576141,-0.043792166,-0.043792166,1.668136968,-4.791747042,3.559767737,-5.659862181,3.559767737,-5.659862181,5.240100429,-6.135142582,0,0,0,16,204147,,,1919
frequency_type_std(Three_Exposures),dolocc,,2.64258722,2.64258722,2.639958624,2.607249677,1.254538347,1.254538347,2.394337635,2.35857486,1.516287489,0.523365933,47.6634067,73.83170335,0.035762776,0.035762776,3.982529349,-0.600422059,4.784851843,-1.858931806,4.784851843,-1.858931806,5.366097668,-2.609119751,0,0,0,16,,,,739
frequency_type_std(Three_Exposures),occ,,2.2131969,2.198547381,2.149688285,2.268339637,-5.87658341,-5.230757772,1.878128369,1.933853719,-2.881570058,0.11121532,88.87846803,94.43923402,-0.05572535,-0.05572535,-1.181804688,-4.397234233,-0.624167872,-5.181661455,-0.624167872,-5.181661455,-0.137112909,-5.974340107,0,0,0,16,,,,739
