MODEL_DESC,MODEL,TIME_AGG_PERIOD,START_WEEK,END_WEEK,DEPENDENT_VARIABLE,CNT_EXPSD_HH,UDJ_AVG_EXPSD_HH_PRE,UDJ_AVG_CNTRL_HH_PRE,UDJ_AVG_EXPSD_HH_PST,UDJ_AVG_CNTRL_HH_PST,UDJ_DOD_EFFECT,UDJ_DIFF_EFFECT,ADJ_MEAN_EXPSD_GRP,ADJ_MEAN_CNTRL_GRP,ADJ_DOD_EFFECT,TWOTAIL_PVAL,ONETAIL_PVAL,ABS_DIFF,DOL_DIFF,ONETAIL_80_PCT_INTRVL_LB,ONETAIL_80_PCT_INTRVL_UB,ONETAIL_90_PCT_INTRVL_LB,ONETAIL_90_PCT_INTRVL_UB,TWOTAIL_80_PCT_INTRVL_LB,TWOTAIL_80_PCT_INTRVL_UB,TWOTAIL_90_PCT_INTRVL_LB,TWOTAIL_90_PCT_INTRVL_UB,CNT_IMPRESSIONS,TWOTAIL_PVAL_TO_CAMPAIGN,ONETAIL_PVAL_TO_CAMPAIGN,CNT_EXPSD_HH_MODEL,SE_ADJ_DOD_EFFECT
household_income ( 100-150k ),INC5,20,2026,2045,DOL/HH,496073,1.79070288094412,1.79974372324424,1.75759458521347,1.53813259284971,14.8558606537647,14.2680802281918,1.73424423010798,1.6437688311573,5.50414372360288,76.8733295921173,88.4366647960586,0.0904753989506849,0.0904753989506849,1.87341760554915,9.13486984165662,0.0580545465222787,10.9502329006835,0.0580545465222787,10.9502329006835,-2.4088403965321,13.4171278437379,2354631,18.4351591594853,59.2175795797426,11524,2.98403721366273
household_income ( 150-200k ),INC6,20,2026,2045,PEN, ,0.14662273476112,0.14662273476112,0.13948380010983,0.124046616633108,12.444663059518,12.444663059518,0.13969127075,0.130164575,7.31896197563738,92.1386848611673,96.0693424305837,0.00952669575, ,4.03294028516809,10.6049836661067,2.38992943993345,12.2479945113413,2.38992943993345,12.2479945113413,0.157243738118221,14.4806802131565, ,99.3233676028456,99.6616838014228,5463,0.213861808390358
household_income ( 150-200k ),INC6,20,2026,2045,OCC, ,1.85268414481898,1.87640449438202,1.87139107611549,1.8165272995573,4.32606359069739,3.02025609918175,1.87330000482375,1.842285,1.68350742820736,39.4589337618505,69.7294668809252,0.03101500482375, ,-0.889646707121625,4.25666156353635,-2.17622377478612,5.54323863120084,-2.17622377478612,5.54323863120084,-3.92455199281906,7.29156684923378, ,83.9246652077775,91.9623326038887,762,2.37024163310228
household_income ( 150-200k ),INC6,20,2026,2045,DOL/OCC, ,7.24213069476646,7.24155894252555,7.72011389485405,7.47243342567691,3.30693768494623,3.31458917152825,7.710489656125,7.580306375,1.71738811975129,54.5341503347744,77.2670751673872,0.130183281125, ,-0.0964259330453124,3.5312021725479,-1.00333295944362,4.4381091989462,-1.00333295944362,4.4381091989462,-2.23572795950588,5.67050419900847, ,71.6186371305927,85.8093185652963,762,6.87463311373935
household_income ( 150-200k ),INC6,20,2026,2045,DOL/HH,231554,1.99628775398133,2.00954908780279,2.04807248764415,1.69216303618281,21.8165021566474,21.0328108965321,2.01788949072117,1.8177873192771,11.0080078853032,91.7178655331568,95.8589327665784,0.200102171444065,0.200102171444065,5.9966200780755,16.0193956925309,3.49092617446166,18.5250895961447,3.49092617446166,18.5250895961447,0.0859413760044978,21.9300743946019,1113361,99.8696863214555,99.9348431607278,5463,4.55481860397919
household_income ( 200kplus ),INC9,20,2026,2045,PEN, ,0.142014682873992,0.142014682873992,0.132747623059333,0.13046094596221,1.75276752767528,1.75276752767528,0.13248338925,0.129008125,2.69383362482014,55.7863826657303,77.8931913328652,0.00347526425, ,-0.0738119084142047,5.46147915805449,-1.45763467503138,6.84530192467166,-1.45763467503138,6.84530192467166,-3.33810997063499,8.72577722027527, ,88.0760366248082,94.0380183124041,8309,0.178524380453594
household_income ( 200kplus ),INC9,20,2026,2045,OCC, ,1.91864406779661,1.85536723163842,1.87307343608341,1.85209102091021,-2.28360380280915,1.13290410332469,1.8697944278625,1.8873,-0.927545813463678,27.9633891199235,63.9816945599618,0.0175055721375, ,-2.97363361426084,1.11854198733349,-3.99667751465943,2.14158588773207,-3.99667751465943,2.14158588773207,-5.38689079010679,3.53179916317943, ,90.6669319050347,95.3334659525173,1103,1.93079075322225
household_income ( 200kplus ),INC9,20,2026,2045,DOL/OCC, ,7.27987541364003,7.27655707029944,7.7040256371512,7.48696806937766,2.85481682908684,2.8991384197473,7.7044849175,7.503957625,2.67228711196247,85.7251278157647,92.8625639078824,0.2005272925, ,1.2325164656028,4.11205775832214,0.51263114242297,4.83194308150197,0.51263114242297,4.83194308150197,-0.465620262716542,5.81019448664148, ,73.3352977072233,86.6676488536117,1103,5.4019889600009
household_income ( 200kplus ),INC9,20,2026,2045,DOL/HH,312102,1.99720182934168,1.94426726040037,1.91811650018053,1.79363702009869,3.98881771165683,6.94005970477739,1.90849911096751,1.82707067720109,4.45677525136352,67.8386376527464,83.9193188263732,0.0814284337664181,0.0814284337664181,0.90604672519323,8.0075037775338,-0.869317537891914,9.78286804061895,-0.869317537891914,9.78286804061895,-3.28185815939818,12.1954086621252,1508387,97.4451929896677,98.7225964948339,8309,3.24371598643359
household_income ( 25-50k ),INC2,20,2026,2045,PEN, ,0.122521808088818,0.122521808088818,0.115979381443299,0.104017975151996,11.4993646759848,11.4993646759848,0.115885987875,0.1072559,8.04625934330885,87.6693253833339,93.834662691667,0.008630087875, ,3.92324608254572,12.169272604072,1.86173945216416,14.2307792344535,1.86173945216416,14.2307792344535,-0.939639729963446,17.0321584165812, ,96.9447604333192,98.4723802166596,5044,0.221108748997542
