id,state_1,state_2
367,2016-02-09 03:43:08,2016-02-09 09:49:22
368,2016-02-01 15:07:11,2016-02-01 20:30:47
369,2016-02-09 05:05:09,2016-02-09 10:10:30
370,2016-02-09 05:30:22,2016-02-09 09:52:21
371,2016-02-09 08:58:10,
372,2016-02-09 09:46:11,2016-02-11 22:25:56
373,2016-02-09 10:00:21,2016-02-09 21:03:06
374,2016-02-09 10:00:45,2016-02-09 14:44:38
375,2016-02-09 10:25:54,2016-02-09 11:58:56
376,2016-02-09 11:07:10,2016-02-09 14:47:36
377,2016-02-09 12:21:14,2016-02-10 09:46:53
378,2016-02-08 15:16:10,2016-02-08 17:57:42
379,2016-02-08 15:16:10,2016-02-08 17:57:42
380,2016-02-09 12:55:10,2016-02-09 15:15:33
381,2016-02-09 13:08:19,2016-02-09 15:22:28
382,2016-02-09 13:16:12,2016-02-10 16:42:14
383,2016-02-09 13:16:12,2016-02-10 16:42:14
384,2016-02-09 13:24:11,2016-02-09 15:10:50
385,2016-02-09 14:59:10,2016-02-09 18:31:15
386,2016-02-09 15:35:11,2016-02-09 19:12:56
387,2016-02-09 15:39:47,2016-02-09 18:25:57
388,2016-02-09 16:08:11,2016-02-09 21:53:15
389,2016-02-09 16:38:11,2016-02-09 21:54:49
390,2016-02-09 17:11:09,2016-02-09 21:56:33
391,2016-02-09 17:30:16,2016-02-09 21:58:15
392,2016-02-09 17:36:11,2016-02-10 16:45:30
393,2016-02-09 18:15:13,2016-02-09 22:00:04
394,2016-02-09 18:41:09,2016-02-11 19:36:33
395,2016-02-09 20:06:12,2016-02-09 22:06:14
396,2016-02-09 22:09:37,
397,2016-02-10 00:16:10,2016-02-10 03:43:12
398,2016-02-10 03:33:18,
399,2016-02-10 03:50:14,
400,2016-02-10 05:49:09,2016-02-10 09:06:07
401,2016-02-10 08:11:09,
402,2016-02-10 08:29:09,
403,2016-02-10 09:06:14,2016-02-10 15:52:12
404,2016-02-10 09:10:16,2016-02-10 11:37:17
405,2016-02-10 09:13:09,2016-02-10 13:07:00
406,2016-02-10 10:01:11,
407,2016-02-10 10:34:12,2016-02-10 11:42:38
408,2016-02-10 10:43:09,2016-02-10 20:54:59
409,2016-02-10 10:48:12,2016-02-10 12:39:57
410,2016-02-10 11:03:09,2016-02-10 12:31:19
411,2016-02-10 11:09:09,2016-02-11 19:49:36
412,2016-02-10 11:09:09,2016-02-11 19:49:36
413,2016-02-10 11:09:09,2016-02-11 19:49:36
414,2016-02-10 11:21:10,2016-02-10 13:00:45
415,2016-02-10 11:33:09,2016-02-10 12:43:03
416,2016-02-10 11:33:18,2016-02-10 14:56:34
417,2016-02-10 11:59:10,2016-02-10 15:00:08
418,2016-02-10 12:27:09,2016-02-10 20:59:01
419,2016-02-10 12:47:11,
420,2016-02-10 13:18:11,2016-02-25 16:02:08
421,2016-02-10 13:27:09,2016-02-10 15:25:00
422,2016-02-10 13:30:17,2016-02-10 15:31:42
423,2016-02-10 13:30:25,2016-02-10 15:33:51
424,2016-02-10 13:57:10,2016-02-10 15:26:44
425,2016-02-10 14:09:11,2016-02-11 20:22:48
426,2016-02-10 14:29:12,2016-02-11 21:24:19
427,2016-02-10 14:33:13,2016-02-11 22:05:13
428,2016-02-10 14:33:13,2016-02-11 22:05:13
429,2016-02-10 15:07:10,2016-02-10 15:54:12
430,2016-02-10 15:29:11,2016-02-14 16:32:51
431,2016-02-10 15:49:09,2016-02-15 12:02:34
432,2016-02-10 16:05:13,2016-02-10 19:59:04
433,2016-02-10 16:30:18,2016-02-10 20:04:46
434,2016-02-10 16:43:11,2016-02-10 20:00:35
435,2016-02-10 16:53:10,
436,2016-02-10 17:00:14,
437,2016-02-10 17:22:12,
438,2016-02-10 17:29:12,2016-02-10 21:44:17
439,2016-02-10 17:37:09,2016-02-11 08:35:39
440,2016-02-10 17:51:11,2016-02-10 20:03:11
441,2016-02-10 18:16:12,
442,2016-02-10 18:40:15,2016-02-11 08:39:36
443,2016-02-10 18:52:35,2016-02-11 08:48:30
444,2016-02-10 18:59:13,2016-02-11 08:51:08
445,2016-02-10 19:02:12,
446,2016-02-10 19:05:11,2016-02-11 09:05:31
447,2016-02-10 19:59:10,2016-02-11 09:09:09
448,2016-02-10 20:37:10,2016-02-15 15:36:02
449,2016-02-10 20:56:13,2016-02-11 09:13:59
450,2016-02-10 21:17:08,2016-02-12 07:32:49
451,2016-02-10 21:27:11,2016-02-11 09:18:18
452,2016-02-10 21:36:11,2016-02-11 09:20:24
453,2016-02-10 21:38:10,2016-02-11 09:22:32
454,2016-02-10 21:39:08,2016-02-11 09:23:57
455,2016-02-10 22:19:09,2016-02-11 09:29:11
456,2016-02-10 22:19:16,2016-02-11 09:29:31
457,2016-02-10 22:34:11,2016-02-11 09:32:23
458,2016-02-10 22:39:16,2016-02-11 09:33:48
459,2016-02-10 22:40:16,2016-02-11 09:43:49
460,2016-02-10 23:10:16,2016-02-11 09:47:22
461,2016-02-10 23:45:11,2016-02-11 12:37:16
462,2016-02-11 00:06:11,2016-02-11 09:57:58
463,2016-02-11 00:13:10,
464,2016-02-11 00:22:11,2016-02-11 09:56:38
465,2016-02-11 01:18:12,2016-02-11 12:37:15
466,2016-02-11 06:06:12,
467,2016-02-11 06:28:11,2016-02-11 11:06:56
468,2016-02-11 07:40:15,2016-02-11 13:23:21
469,2016-02-11 07:42:13,2016-02-11 12:37:13
470,2016-02-11 07:51:10,2016-02-11 12:37:11
471,2016-02-11 08:12:12,2016-02-11 12:37:32
472,2016-02-11 08:30:17,2016-02-11 12:37:25
473,2016-02-11 08:39:09,2016-02-18 17:10:37
474,2016-02-11 08:51:09,2016-02-11 13:32:48
475,2016-02-11 09:08:14,2016-02-11 13:53:09
476,2016-02-11 09:10:17,2016-02-22 09:38:43
477,2016-02-11 09:12:13,
478,2016-02-11 09:12:21,2016-02-11 15:00:50
479,2016-02-11 09:12:32,2016-02-11 15:11:52
480,2016-02-11 09:34:13,
481,2016-02-11 09:36:12,2016-02-11 15:13:16
482,2016-02-11 10:06:12,2016-02-11 15:15:16
483,2016-02-11 10:36:12,2016-02-11 15:34:12
484,2016-02-11 10:46:13,2016-02-11 18:43:37
485,2016-02-11 11:04:13,2016-02-11 15:38:59
486,2016-02-11 11:36:12,2016-02-11 15:45:13
487,2016-02-11 12:00:18,2016-02-12 20:06:04
488,2016-02-11 12:08:12,2016-02-11 15:48:53
489,2016-02-11 12:26:13,2016-02-11 15:50:43
490,2016-02-11 12:36:12,2016-02-11 15:52:17
491,2016-02-11 12:36:12,2016-02-11 15:52:17
492,2016-02-11 12:37:19,2016-02-11 15:53:14
493,2016-02-11 12:49:10,2016-02-11 15:56:00
494,2016-02-11 13:23:10,2016-02-11 20:50:04
495,2016-02-11 13:30:17,2016-03-31 18:34:22
496,2016-02-11 13:46:14,
497,2016-02-11 14:46:12,
498,2016-02-11 14:47:09,
499,2016-02-11 14:49:09,2016-02-11 17:04:03
500,2016-02-11 14:54:13,2016-02-11 17:05:44
501,2016-02-11 14:57:10,2016-02-16 18:22:19
502,2016-02-11 16:43:11,
503,2016-02-11 16:51:09,2016-02-15 18:17:29
504,2016-02-11 17:11:09,
505,2016-02-11 17:28:12,2016-02-12 21:56:02
506,2016-02-09 13:08:19,2016-02-09 15:22:28
507,2016-02-09 13:08:19,2016-02-09 15:22:28
508,2016-02-11 19:04:08,2016-02-12 18:06:23
509,2016-02-11 19:09:12,2016-02-12 09:02:36
510,2016-02-11 19:20:15,2016-02-12 11:31:46
511,2016-02-08 15:16:10,2016-02-08 17:57:42
512,2016-02-11 19:32:10,
513,2016-02-11 19:45:11,2016-02-15 13:28:04
514,2016-02-11 19:48:11,
515,2016-02-11 20:23:09,2016-02-12 07:56:22
516,2016-02-11 20:26:10,
517,2016-02-11 20:28:11,2016-02-12 13:54:37
518,2016-02-11 20:59:09,2016-02-12 13:48:11
519,2016-02-11 21:41:08,
520,2016-02-11 21:48:11,2016-02-12 08:07:10
521,2016-02-11 21:53:08,
522,2016-02-11 22:13:08,
523,2016-02-11 22:44:11,2016-02-12 08:11:16
524,2016-02-11 22:45:11,2016-02-12 21:47:25
